Description
2D GRE_MT
2D T2  FLAIR
2D T2 FLAIR
2D T2 FLAIR..
3 PLANE LOC
3 Plane Localizer
3 plane
AX DE TSE
AX DUAL_TSE
AX PD  5/1
AX T1 FLAIR
Anon
Ax T1 FLAIR
B0rf Map
COR
COR T2 loc
Cal Head 24
Coronal
DTI (30Axis)
DTI Sequence_ADC
DTI Sequence_FA
DTI Sequence_TRACEW
DTI_ADC
DTI_FA
DTI_LR_ADC
DTI_LR_ColFA
DTI_LR_FA
DTI_LR_TRACEW
DTI_PHANTOM
DTI_RL_ADC
DTI_RL_ColFA
DTI_RL_FA
DTI_RL_TRACEW
DTI_TRACEW
DTI_gated AC-PC LINE_FA
DTI_gated AC-PC LINE_TRACEW
DTI_gated_ADC
DTI_gated_FA
DTI_gated_TRACEW
DTI_phantom
DUAL_TSE
DW_SSh separate
Double_TSE
Field_mapping
GRE B0
HighResHippo
IsoADC
LOCALIZER
MIDLINE SAG LOC
MPR - SmartBrain
MPRAGE Phantom GRAPPA2
SAG
SAG SPGR
SURVEY
Sag T1 FLAIR
TRA
TRA/DUAL
Transverse
ax t1 reformat
dDW_SSh ADC
dDW_SSh SENSE
eDW_SSh SENSE
localizer
sag
t2_localizer
t2_tirm_tra_dark-fluid NO BLADE
t2_tirm_tra_dark-fluid_
